trip_id,area_code,trip_days,theme,has_child,has_elderly,has_disabled,companion_count,p0_age,p0_gender,p0_style,p0_home,p0_preferred,p1_age,p1_gender,p1_style,p1_home,p1_preferred
g_g000252,west,2,10,0,0,0,0,40,남,5;3;5;4;4;5;3;5,44,30200;44230;45140,,,,,
g_g000256,west,3,11,0,0,0,0,30,여,1;1;2;3;4;6;6;3,30,42150;46130;45130,,,,,
g_g000259,west,3,1,0,0,0,0,40,남,2;2;3;3;5;5;2;5,41,42210;45130;28710,,,,,
g_g000280,west,2,24,0,0,0,0,40,남,4;4;2;2;4;2;1;7,29,46710;46110;46790,,,,,
g_g000284,west,2,11,0,0,0,0,60,여,1;7;4;1;4;4;1;7,29,46110;46170;45770,,,,,
g_g000285,west,3,1,0,0,0,0,20,남,6;2;2;2;2;4;1;3,41,42150;30140;50110,,,,,
g_g000286,west,2,1,0,0,0,0,40,남,3;7;3;5;5;6;3;3,43,11440;50130;50110,,,,,
g_g000287,west,3,2,0,0,0,0,30,여,1;1;4;4;4;3;6;5,11,42210;48310;30200,,,,,
g_g000290,west,3,1,0,0,0,0,40,남,2;1;3;3;3;7;3;5,41,42720;41110;41590,,,,,
g_g000306,west,3,11,0,0,0,0,20,여,2;2;2;1;4;4;2;5,11,44210;48850;41280,,,,,
g_g000308,west,3,2,0,0,0,0,20,여,3;3;3;4;5;3;3;5,45,45110;50130;26500,,,,,
g_g000312,west,3,1,0,0,0,0,50,남,4;2;2;2;7;2;1;2,44,11680;44150;30200,,,,,
g_g000314,west,3,1,0,0,0,0,40,여,1;1;4;1;1;4;2;4,41,42210;50130;26350,,,,,
g_g000316,west,3,1,0,0,0,0,30,여,5;6;3;5;6;6;6;5,30,45800;45110;44200,,,,,
g_g000319,west,3,1,0,0,0,0,20,여,2;4;4;4;4;4;4;7,28,42210;11680;26530,,,,,
g_g000334,west,3,1,0,0,0,0,40,남,5;3;3;4;3;3;5;6,41,41820;48310;46230,,,,,
g_g000345,west,3,1,0,0,0,0,30,여,1;4;4;1;1;1;7;1,11,42800;42110;42210,,,,,
g_g000346,west,2,2,0,0,0,0,50,남,2;2;1;6;6;2;2;6,11,48220;44810;43800,,,,,
g_g000348,west,3,1,0,0,0,0,20,여,3;2;3;3;3;3;6;6,41,47130;48840;50110,,,,,
g_g000354,west,3,23,0,0,0,0,40,여,1;4;3;4;2;4;3;4,41,42230;50130;26350,,,,,
g_g000361,west,2,1,0,0,0,0,40,여,4;2;3;4;2;5;5;5,30,42150;50110;26350,,,,,
g_g000365,west,2,1,0,0,0,0,30,여,2;2;4;2;4;2;2;6,41,42150;30140;26350,,,,,
g_g000367,west,3,24,0,0,0,0,20,여,1;2;1;6;4;2;7;7,41,42150;41500;26710,,,,,
g_g000379,west,2,24,0,0,0,0,50,남,1;7;4;4;1;7;4;4,44,44210;46170;45110,,,,,
g_g000387,west,2,21,0,0,0,0,50,남,2;2;6;2;2;5;2;4,41,42150;41670;26350,,,,,
g_g000392,west,3,1,0,0,0,0,40,여,3;1;3;3;6;5;3;5,29,46150;46130;31710,,,,,
g_g000393,west,3,28,0,0,0,0,40,남,1;1;1;2;6;2;1;4,28,42210;41820;50110,,,,,
g_g000396,west,3,22,0,0,0,0,40,남,4;3;4;6;5;5;2;5,48,41460;46130;41110,,,,,
g_g000397,west,3,12,0,0,0,0,30,여,1;1;6;1;1;1;1;7,41,47930;26320;50130,,,,,
g_g000399,west,2,2,0,0,0,0,40,여,3;3;5;4;2;5;3;6,41,42150;42210;26350,,,,,
g_g000402,west,2,21,0,0,0,0,30,여,4;1;1;1;1;4;1;1,41,50110;42150;26350,,,,,
g_g000410,west,3,2,0,0,0,0,30,남,4;7;1;1;1;1;7;1,11,41480;42150;50130,,,,,
g_g000420,west,2,11,0,0,0,0,30,여,2;3;1;5;3;3;2;5,41,28200;44810;46900,,,,,
g_g000423,west,3,2,0,0,0,0,50,여,1;3;1;2;5;4;6;5,11,42750;41280;42170,,,,,
g_g000425,west,3,2,0,0,0,0,40,남,3;5;2;6;7;2;2;5,11,41290;42150;50130,,,,,
g_g000427,west,3,10,0,0,0,0,50,여,2;3;2;2;3;3;4;6,11,48730;48250;48240,,,,,
g_g000429,west,3,3,0,0,0,0,20,여,3;2;2;2;6;6;1;6,30,41280;42150;42210,,,,,
g_g000430,west,3,22,0,0,0,0,20,남,4;4;2;2;4;4;1;6,29,50130;11680;44270,,,,,
g_g000437,west,3,2,0,0,0,0,50,남,1;1;2;4;6;5;2;7,11,42210;46110;43800,,,,,
g_g000441,west,3,2,0,0,0,0,40,남,3;5;3;4;4;4;5;4,29,50110;11560;26350,,,,,
g_g000443,west,3,11,0,0,0,0,50,여,1;1;1;5;3;2;4;5,41,43150;42150;42750,,,,,
g_g000447,west,3,5,0,0,0,0,40,여,4;4;3;2;2;3;5;2,46,11110;26350;41290,,,,,
g_g000454,west,3,21,0,0,0,0,50,여,2;7;2;6;1;2;6;2,45,50110;41110;44825,,,,,
g_g000460,west,3,1,0,0,0,0,30,남,4;4;3;6;4;4;4;4,44,44180;30200;45110,,,,,
g_g000466,west,3,11,0,0,0,0,50,남,2;2;3;2;2;3;3;3,41,50130;42150;44200,,,,,
g_g000469,west,3,1,0,0,0,0,30,여,1;2;2;5;2;2;4;5,41,46130;42150;46890,,,,,
g_g000474,west,3,4,0,0,0,0,50,여,5;4;4;7;6;6;3;3,11,42150;41360;41820,,,,,
g_g000477,west,2,24,0,0,0,0,40,여,4;2;4;2;2;4;1;6,44,50110;26350;42150,,,,,
g_g000480,west,3,8,0,0,0,0,40,남,2;1;1;1;7;1;2;7,48,50110;48170;29155,,,,,
g_g000483,west,2,22,0,0,0,0,40,여,4;4;2;3;2;2;2;6,41,46130;26350;42150,,,,,
g_g000486,west,2,3,0,0,0,0,50,여,4;4;1;1;4;2;6;1,42,42210;48220;48250,,,,,
g_g000488,west,3,1,0,0,0,0,40,여,1;4;5;3;1;5;3;6,43,43760;41280;47280,,,,,
g_g000490,west,3,1,0,0,0,0,50,남,4;3;4;4;3;5;2;3,11,26350;42110;44130,,,,,
g_g000492,west,3,21,0,0,0,0,40,여,4;3;3;1;5;5;6;3,41,42760;41460;41110,,,,,
g_g000499,west,3,2,0,0,0,0,30,여,2;1;1;1;1;1;1;7,43,50110;42760;43130,,,,,
g_g000503,west,3,10,0,0,0,0,40,남,3;2;3;2;5;5;5;6,11,50130;42210;42760,,,,,
g_g000510,west,3,11,0,0,0,0,40,남,2;2;6;2;6;2;2;4,29,45800;45730;46710,,,,,
g_g000515,west,3,5,0,0,0,0,40,남,1;1;1;3;3;5;3;6,44,42210;46130;48840,,,,,
