trip_id,area_code,trip_days,theme,has_child,has_elderly,has_disabled,companion_count,p0_age,p0_gender,p0_style,p0_home,p0_preferred,p1_age,p1_gender,p1_style,p1_home,p1_preferred
e_e004295,central,2,1,0,0,0,0,20,여,6;2;4;1;3;4;6;2,41,11440;47930;46880,,,,,
e_e004300,central,3,22,0,0,0,0,20,남,2;4;2;5;3;2;6;2,41,11740;42130;26350,,,,,
e_e004304,central,2,1,0,0,0,0,20,남,5;5;5;4;3;3;5;5,41,44825;30170;11740,,,,,
e_e004309,central,3,27,0,0,0,0,60,여,2;2;2;3;1;1;2;2,41,42210;42830;42230,,,,,
e_e004310,central,2,1,0,0,0,0,40,남,5;2;2;2;4;4;3;4,11,41820;42210;41360,,,,,
e_e004313,central,3,21,0,0,0,0,20,여,2;3;1;7;4;3;2;6,41,46150;29110;47110,,,,,
e_e004315,central,2,1,0,0,0,0,20,남,4;2;3;5;4;5;5;5,44,50110;26350;11230,,,,,
e_e004317,central,2,1,0,0,0,0,30,남,2;2;2;2;3;3;4;3,28,28710;11230;43150,,,,,
e_e004324,central,3,1,0,0,0,0,30,남,1;1;2;2;2;2;4;2,11,42110;41360;26350,,,,,
e_e004326,central,3,21,0,0,0,0,20,남,5;4;5;5;5;5;4;6,11,41290;42150;41210,,,,,
e_e004333,central,2,21,0,0,0,0,60,남,2;1;1;1;1;2;1;7,11,50130;42210;46890,,,,,
e_e004334,central,3,4,0,0,0,0,40,남,2;2;6;1;2;6;2;6,44,50130;26350;42210,,,,,
e_e004336,central,2,5,0,0,0,0,30,남,4;6;2;7;2;1;1;6,11,50110;42150;28710,,,,,
e_e004338,central,2,1,0,0,0,0,30,여,4;4;5;4;4;4;3;5,41,11500;11560;47760,,,,,
e_e004340,central,2,1,0,0,0,0,20,여,2;3;4;2;3;3;4;6,41,50110;42230;26500,,,,,
e_e004341,central,3,1,0,0,0,0,20,남,4;4;3;5;5;5;3;3,41,47930;41130;50110,,,,,
e_e004342,central,3,1,0,0,0,0,20,남,6;2;2;2;6;2;2;2,11,45110;45130;41210,,,,,
e_e004344,central,3,12,0,0,0,0,30,여,3;1;2;2;2;6;4;2,28,42210;50110;42150,,,,,
e_e004349,central,3,1,0,0,0,0,20,여,1;1;1;2;1;5;6;6,28,50110;50130;26350,,,,,
e_e004354,central,2,2,0,0,0,0,30,여,1;4;2;4;5;2;4;6,11,42150;30110;41190,,,,,
e_e004357,central,3,1,0,0,0,0,30,남,2;2;2;3;1;4;3;6,11,42150;41820;26350,,,,,
e_e004360,central,2,5,0,0,0,0,30,남,4;1;3;1;4;5;7;5,11,28185;42210;26290,,,,,
e_e004369,central,3,1,0,0,0,0,20,여,1;1;1;4;2;3;6;7,11,50110;11215;48250,,,,,
e_e004371,central,2,1,0,0,0,0,40,남,1;1;4;2;2;3;7;1,11,42150;41820;48310,,,,,
e_e004372,central,3,1,0,0,0,0,20,남,4;1;1;4;4;2;6;6,42,50130;46130;44180,,,,,
e_e004373,central,3,28,0,0,0,0,20,여,4;3;2;4;4;3;7;7,41,41820;26350;46130,,,,,
e_e004380,central,2,4,0,0,0,0,30,여,3;4;2;4;4;4;4;5,11,42820;50110;42210,,,,,
e_e004381,central,2,1,0,0,0,0,20,여,1;1;3;1;5;6;2;7,42,42150;29170;11170,,,,,
e_e004384,central,2,1,0,0,0,0,40,여,4;3;2;4;6;2;1;5,41,41820;26350;47280,,,,,
e_e004391,central,2,22,0,0,0,0,40,남,2;4;2;4;6;2;2;7,41,42210;50130;26350,,,,,
e_e004392,central,3,1,0,0,0,0,20,남,4;4;4;4;4;4;4;4,41,26350;50130;11590,,,,,
e_e004393,central,3,22,0,0,0,0,20,여,2;1;1;6;5;3;7;3,42,42150;50110;26350,,,,,
e_e004395,central,2,1,0,0,0,0,30,여,1;1;4;1;2;1;1;4,41,26290;28185;27260,,,,,
e_e004396,central,3,22,0,0,0,0,40,남,4;4;4;1;4;7;1;7,11,42210;41820;41650,,,,,
e_e004398,central,2,1,0,0,0,0,20,남,6;2;6;4;5;4;7;5,42,11740;11710;11680,,,,,
e_e004402,central,2,22,0,0,0,0,40,여,3;3;4;5;5;6;2;2,11,50110;42820;26710,,,,,
e_e004409,central,2,1,0,0,0,0,20,남,7;1;1;1;1;1;1;1,41,11680;41220;41310,,,,,
e_e004415,central,3,21,0,0,0,0,20,남,2;2;5;3;3;4;3;5,11,42150;41820;43130,,,,,
e_e004416,central,3,22,0,0,0,0,20,남,6;1;2;6;6;2;2;4,11,41820;42150;42210,,,,,
e_e004417,central,3,2,0,0,0,0,20,여,1;1;2;2;6;2;6;2,11,44150;26350;42210,,,,,
e_e004421,central,3,23,0,0,0,0,30,남,1;2;1;1;1;1;4;6,11,41830;28260;44800,,,,,
e_e004422,central,3,21,0,0,0,0,60,여,2;4;6;1;2;4;2;2,11,41820;50130;26350,,,,,
e_e004423,central,2,1,0,0,0,0,60,남,1;1;2;1;1;4;2;5,11,42770;41830;42230,,,,,
e_e004432,central,2,5,0,0,0,0,40,여,4;1;2;1;2;3;1;3,11,50130;42210;26350,,,,,
e_e004434,central,3,22,0,0,0,0,20,여,3;6;2;6;7;5;6;6,30,44180;26350;45110,,,,,
e_e004443,central,2,12,0,0,0,0,20,여,4;3;1;3;6;5;2;7,11,50110;50130;42210,,,,,
e_e004447,central,2,1,0,0,0,0,60,여,4;2;2;3;2;6;7;2,28,31110;48170;44800,,,,,
e_e004449,central,3,2,0,0,0,0,60,여,2;2;2;2;3;3;2;6,41,42150;41820;50130,,,,,
e_e004451,central,2,21,0,0,0,0,40,여,2;6;2;3;2;6;2;6,41,42230;41360;50130,,,,,
e_e004455,central,3,22,0,0,0,0,20,남,3;2;5;3;1;3;5;6,11,50110;47130;42150,,,,,
e_e004457,central,2,1,0,0,0,0,20,여,2;3;7;3;3;3;6;7,41,48310;44130;46730,,,,,
e_e004459,central,2,11,0,0,0,0,20,여,3;3;3;3;3;6;3;3,41,41290;48740;47770,,,,,
e_e004463,central,3,1,0,0,0,0,20,여,3;2;3;3;4;4;3;5,11,50130;42150;26350,,,,,
e_e004464,central,3,1,0,0,0,0,30,여,4;4;2;3;2;3;1;3,45,26350;48120;11680,,,,,
e_e004466,central,3,22,0,0,0,0,20,여,4;2;2;2;1;2;7;3,44,44130;44200;11170,,,,,
e_e004468,central,2,2,0,0,0,0,30,여,6;4;2;3;4;6;5;5,41,42170;42210;41280,,,,,
e_e004472,central,2,6,0,0,0,0,30,여,3;4;2;4;3;2;5;4,41,45110;47130;26350,,,,,
e_e004473,central,3,1,0,0,0,0,20,여,6;1;2;2;2;3;2;7,11,11170;11440;11710,,,,,
e_e004479,central,2,22,0,0,0,0,20,여,1;1;7;1;1;2;1;7,11,42210;42830;50130,,,,,
