trip_id,area_code,trip_days,theme,has_child,has_elderly,has_disabled,companion_count,p0_age,p0_gender,p0_style,p0_home,p0_preferred,p1_age,p1_gender,p1_style,p1_home,p1_preferred
f_f000417,east,3,23,0,0,0,0,30,남,4;4;2;4;4;4;2;6,11,42210;41820;26710,,,,,
f_f000419,east,3,1,0,0,0,0,30,여,4;1;4;1;1;6;2;7,28,42210;42150;50130,,,,,
f_f000431,east,2,1,0,0,0,0,20,남,2;2;1;1;4;5;2;6,11,47110;50130;42150,,,,,
f_f000435,east,2,2,0,0,0,0,30,여,4;5;2;6;6;2;2;6,26,50110;46130;47130,,,,,
f_f000440,east,3,2,0,0,0,0,40,여,3;4;2;5;6;5;5;7,27,47130;48880;48890,,,,,
f_f000441,east,2,11,0,0,0,0,50,남,4;6;5;4;4;4;1;7,27,47130;50130;11200,,,,,
f_f000444,east,3,21,0,0,0,0,40,여,4;4;5;2;3;5;5;4,11,42150;41570;43130,,,,,
f_f000452,east,3,1,0,0,0,0,40,여,2;2;1;1;7;6;6;7,11,41480;30140;44180,,,,,
f_f000456,east,3,1,0,0,0,0,20,남,6;2;1;1;1;2;7;5,42,26500;11200;45110,,,,,
f_f000463,east,3,21,0,0,0,0,50,여,1;4;4;2;1;4;3;6,11,42210;41820;28710,,,,,
f_f000472,east,3,1,0,0,0,0,40,여,2;1;2;4;4;5;6;5,48,50110;48310;47130,,,,,
f_f000479,east,3,22,0,0,0,0,30,여,3;4;2;4;6;3;3;6,44,44230;44180;44710,,,,,
f_f000481,east,3,2,0,0,0,0,40,남,1;7;1;2;2;1;7;1,41,42830;26350;50130,,,,,
f_f000488,east,2,27,0,0,0,0,40,여,2;5;4;2;3;3;6;4,11,42210;41670;30200,,,,,
f_f000495,east,3,4,0,0,0,0,30,남,6;2;2;4;4;4;6;4,30,31200;31170;31710,,,,,
f_f000499,east,3,22,0,0,0,0,40,여,1;1;3;4;4;6;2;5,11,42210;41650;30140,,,,,
f_f000504,east,2,22,0,0,0,0,40,여,2;7;2;2;2;2;6;6,26,31140;47130;48270,,,,,
f_f000505,east,3,22,0,0,0,0,30,여,1;1;2;4;2;2;5;6,11,26500;47730;27110,,,,,
f_f000507,east,2,22,0,0,0,0,40,남,1;7;4;2;3;2;2;5,27,47830;48740;48330,,,,,
f_f000515,east,2,1,0,0,0,0,30,여,1;4;1;4;1;1;1;5,48,48740;47130;42830,,,,,
f_f000517,east,2,11,0,0,0,0,40,남,1;1;1;4;1;1;1;7,41,41590;42150;50110,,,,,
f_f000519,east,2,2,0,0,0,0,40,남,1;4;4;2;2;6;2;1,27,48270;26470;47290,,,,,
f_f000523,east,3,3,0,0,0,0,40,여,3;4;2;2;2;5;2;5,11,41170;45110;50130,,,,,
f_f000526,east,2,11,0,0,0,0,50,남,3;6;2;6;5;5;3;3,48,48730;48850;48220,,,,,
f_f000545,east,3,11,0,0,0,0,40,여,4;4;6;6;6;4;7;7,48,48310;26710;11680,,,,,
f_f000557,east,3,3,0,0,0,0,40,남,3;3;3;4;5;6;2;5,47,47130;47170;47770,,,,,
f_f000560,east,2,24,0,0,0,0,30,여,1;5;3;5;2;4;3;6,48,48270;26440;42230,,,,,
f_f000566,east,2,3,0,0,0,0,50,남,2;2;2;5;3;6;2;2,47,47130;47770;47210,,,,,
f_f000576,east,3,2,0,0,0,0,40,여,4;4;2;2;2;4;6;6,11,42150;28185;26350,,,,,
f_f000581,east,2,2,0,0,0,0,50,여,1;1;3;2;4;4;2;5,11,50130;26350;42150,,,,,
f_f000587,east,3,21,0,0,0,0,20,여,2;2;2;5;2;6;7;3,41,50110;42170;26350,,,,,
f_f000592,east,3,1,0,0,0,0,60,여,1;2;1;1;2;2;1;3,41,42210;41820;41830,,,,,
f_f000601,east,3,3,0,0,0,0,20,여,2;3;4;6;3;5;6;6,45,11680;26530;50110,,,,,
f_f000604,east,3,22,0,0,0,0,20,여,4;5;3;5;7;7;5;7,41,11110;11170;11650,,,,,
f_f000606,east,3,23,0,0,0,0,30,여,6;2;1;4;2;2;2;4,11,26710;46130;47130,,,,,
f_f000613,east,3,2,0,0,0,0,30,여,3;2;2;2;2;1;4;7,11,42210;50130;26110,,,,,
f_f000616,east,3,2,0,0,0,0,20,여,3;4;5;6;5;4;5;2,26,26500;27110;46150,,,,,
f_f000618,east,3,23,0,0,0,0,40,여,4;1;4;1;1;4;2;4,26,50130;47130;48310,,,,,
f_f000623,east,3,1,0,0,0,0,20,여,2;1;2;1;3;1;6;4,11,42150;50110;42210,,,,,
f_f000624,east,3,8,0,0,0,0,30,남,2;2;6;3;2;6;6;2,41,41590;42150;42760,,,,,
f_f000626,east,3,24,0,0,0,0,40,남,1;1;7;4;4;4;7;4,11,44130;48170;42830,,,,,
f_f000633,east,3,1,0,0,0,0,30,남,1;2;2;4;3;6;2;6,11,42150;50110;41820,,,,,
f_f000635,east,3,25,0,0,0,0,40,남,1;2;2;5;6;2;2;2,41,42720;41820;42830,,,,,
f_f000643,east,3,1,0,0,0,0,40,여,4;4;4;4;4;4;3;6,48,50130;50110;26710,,,,,
f_f000645,east,3,22,0,0,0,0,30,남,4;2;3;2;2;4;5;6,41,26500;45110;42150,,,,,
f_f000646,east,3,1,0,0,0,0,50,남,1;1;1;5;7;7;1;7,27,50130;48220;11680,,,,,
f_f000659,east,3,10,0,0,0,0,40,남,7;1;4;1;1;7;4;7,28,48170;26470;28185,,,,,
f_f000667,east,3,12,0,0,0,0,20,여,1;1;1;3;3;2;3;7,28,26500;42210;46780,,,,,
f_f000668,east,3,21,0,0,0,0,30,남,1;1;1;1;7;7;7;7,27,50110;50130;11680,,,,,
f_f000675,east,3,22,0,0,0,0,20,여,3;5;1;2;6;2;6;2,11,41360;41460;42210,,,,,
f_f000677,east,3,10,0,0,0,0,50,여,1;2;4;2;3;4;5;4,11,50130;42150;41820,,,,,
f_f000679,east,3,1,0,0,0,0,30,여,4;3;2;6;6;2;6;7,45,11110;46710;45800,,,,,
f_f000684,east,3,10,0,0,0,0,20,여,1;2;2;4;3;6;6;6,41,42150;50130;47130,,,,,
f_f000685,east,2,2,0,0,0,0,30,여,6;2;3;5;5;6;2;6,27,47130;26710;30200,,,,,
f_f000686,east,2,5,0,0,0,0,40,남,3;7;5;1;3;4;6;2,11,50110;42150;41280,,,,,
f_f000692,east,3,1,0,0,0,0,50,여,1;3;3;4;3;3;3;4,41,26350;50130;45190,,,,,
f_f000693,east,3,1,0,0,0,0,40,여,2;2;1;4;4;4;2;5,48,48220;46130;50130,,,,,
f_f000696,east,3,6,0,0,0,0,30,여,2;1;2;1;3;4;4;6,41,42150;45110;50110,,,,,
f_f000697,east,3,21,0,0,0,0,40,여,4;6;1;4;5;4;1;7,27,47130;47770;11110,,,,,
